axisLocn_x,axisLocn_y,distAlongAxis,plumeAngle,plumeWidth,
-0.039601,0.352705,0.354921,1.329979,0.292846,
0.413530,1.707060,1.783069,1.301803,0.411785,
0.600606,2.638114,2.732731,1.145065,0.707246,
1.144013,3.482717,3.737045,0.920145,0.965536,
1.814081,4.393970,4.868139,0.753683,1.211680,
2.535433,4.795605,5.693765,0.592873,1.302932,
3.305028,5.457527,6.708860,0.756987,1.516238,
4.604289,6.533249,8.395649,0.685228,1.645195,
4.825051,6.119856,8.864296,0.070433,1.629997,
6.344162,6.392303,10.407644,-0.058967,1.774447,
7.398312,6.699498,11.505643,0.316458,1.875693,
8.341134,7.417651,12.690825,0.112467,1.955850,
9.631270,6.887966,14.085464,0.039970,2.064264,
10.847776,7.221453,15.346852,0.094543,2.066026,
12.058171,7.126043,16.561002,0.038528,2.086873,
13.098620,7.398403,17.636509,0.007252,2.064532,
14.499634,7.132131,19.062602,-0.002115,2.032111,
15.378966,7.116320,19.942076,0.064807,2.059575,
16.879342,7.447772,21.478626,-0.084970,2.088132,
18.407138,7.043844,23.058917,0.025171,2.068958,
19.177973,6.942604,23.836372,-0.037182,2.051114,
20.494032,6.919233,25.152639,-0.243795,2.306852,
21.251807,6.876733,25.911605,-0.017052,2.393814,
21.889532,7.005039,26.562109,-0.005612,2.622013,
22.612815,6.976008,27.285974,-0.100330,2.740885,
