Date,Site,imAve,Trajectories,Scaled,Dist,Usable
2017-10-31,NAPE,False,False,False,,False
2017-10-31,NAPN,True,False,False,4.59,False
2017-10-31,CSN,True,True,True,4.07,True
2018-03-05,CSC,True,True,True,4.93,True
2018-03-05,CSN,True,True,True,8.44,True
2018-03-05,CSS,True,True,True,4.92,True
2018-03-05,G56,False,False,False,6.82,False
2018-03-05,NAPN,True,False,False,,False
2018-03-27,CSC,True,False,False,,False
2018-03-27,CSN,True,True,False,7.35,False
2018-03-27,NAPE,True,False,False,,False
2018-03-27,NAPN,True,False,False,5.35,False
2018-04-10,CSC,False,False,False,,False
2018-05-02,NAPN,True,False,False,,False
2019-01-08,CSC,True,False,False,2.27,False
2019-01-08,CSS,True,True,False,4.51,False
2019-01-08,NAPN,False,False,False,6.76,False
2019-01-10,CSC,False,False,False,5.58,False
2019-01-10,CSN,True,True,False,8.64,False
2019-01-10,CSS,True,True,True,12.26,True
2019-01-10,NAPN,False,False,False,15.92,False
2019-03-14,CSN,True,False,False,6.55,False
2019-03-29,NAPN,True,False,False,6.4,False
2019-04-25,CSC,False,False,False,4.38,False
2019-04-25,CSN,False,False,False,5.17,False
2019-04-25,CSS,True,True,True,8.51,True
2019-04-25,NAPN,True,False,False,3.03,False
2020-01-16,CSS,False,False,False,,False
2020-01-30,CSC,True,True,True,4.08,True
2020-01-30,CSN,True,True,True,7.53,True
2020-01-30,CSS,True,True,True,9.35,True
2020-01-30,NAPN,False,False,False,6.54,False
2020-04-20,CSC,True,False,False,4.07,False
2020-04-20,CSN,True,False,False,,False
2020-04-20,CSS,True,False,False,9.37,False
2020-05-19,CS*,False,False,False,,False
2020-05-19,CSS,True,True,True,10.41,True
2020-06-23,CS*,False,False,False,,False
2020-07-18,CSC,True,False,False,4.72,False
2020-07-18,CSN,True,True,False,7.17,False
2020-07-18,CSS,False,False,False,,False
2020-07-18,ZFNN,False,False,False,,False
2021-01-07,CSN,False,False,False,,False
2021-01-07,CSS,False,False,False,,False
2021-01-07,NAPN,False,False,False,,False
2021-01-07,TAS,False,False,False,,False
2021-04-15,CSC,False,False,False,,False
2021-04-15,CSN,False,False,False,,False
2021-04-15,CSS,False,False,False,,False
